"parcel_id","num_changes","tot_rent_change","total_days_on_market","initial_rent","days_til_first_change","first_change_amt","days_til_second_change","second_change_amt","days_til_third_change","third_change_amt","days_til_fourth_change","fourth_change_amt","days_til_fifth_change","fifth_change_amt","parcel_number","parcel_county","parcel_address1","parcel_address2","parcel_city","parcel_state","parcel_zipcode","parcel_longitude","parcel_latitude","land_use","acres","sqft_total","bedroom_count","bathroom_count","year_built","last_sale","last_price","total_value"
"17309865","0",,"4","6600",,,,,,,,,,,"4281022041","Los Angeles","938 12TH ST","APT 301","SANTA MONICA","CA","90403","-118.494833","34.028289","366","0.1721074","1752","3","3.000","1990","2014-03-12","4309091","1736284"
"17312472","0",,"11","1850",,,,,,,,,,,"2856011156","Los Angeles","23515 LYONS AVE","UNIT 243","VALENCIA","CA","91355","-118.545066","34.380646","366","9.7314050","987","2","2.000","1969","2004-07-21","238500","265000"
"17316037","0",,"2","2695",,,,,,,,,,,"144710019","Sonoma","14 RYAN LN","","COTATI","CA","94931","-122.692147","38.332492","375","0.0541781","1188","3","3.000","1989","2015-03-10","355500","383008"
"17320415","0",,"5","1850",,,,,,,,,,,"3087271640000","San Bernardino","21236 COLOMBARD WAY","","APPLE VALLEY","CA","92308","-117.200494","34.494204","385","0.4315886","2282","4","3.000","2005","2005-05-26","268500","335385"
"17325010","0",,"4","2350",,,,,,,,,,,"0113524230000","San Bernardino","2619 S TIARA AVE","","ONTARIO","CA","91761","-117.606880","34.026477","385","0.1652893","1524","4","2.000","1974","2015-11-13","365000","387341"
"17328436","0",,"3","1395",,,,,,,,,,,"3095211240000","San Bernardino","13664 GEMINI ST","","VICTORVILLE","CA","92392","-117.362931","34.474747","385","0.0929752","1517","3","2.500","1989","2009-06-26","75000","86579"
"17329038","1","-25","12","1675","12","-25",,,,,,,,,"650331026","Riverside","31577 VIA PARED","","THOUSAND PALMS","CA","92276","-116.396240","33.819435","385","0.1600092","1264","3","2.000","1992","2000-11-30","85000","121811"
"17330663","0",,"12","2500",,,,,,,,,,,"4155822024","San Diego","4627 OCEAN BLVD","UNIT 204","SAN DIEGO","CA","92109","-117.256947","32.797747","366","0.8399908","615","1","1.000","1974","1991-03-22","128000","700000"
"17331235","0",,"12","11500",,,,,,,,,,,"052500008000","Napa","2 OLD COACH RD","","NAPA","CA","94558","-122.265334","38.322028","385","1.0399908","3475","4","4.000","2018","2002-06-14","435000","2026964"
"17331926","0",,"2","1550",,,,,,,,,,,"0266172030000","San Bernardino","1491 SHERIDAN RD","","SAN BERNARDINO","CA","92407","-117.321531","34.170258","385","0.2134986","1524","3","2.000","1955","2009-05-20","95000","109670"
"17333201","0",,"12","3200",,,,,,,,,,,"486 005501900","Alameda","33787 REMINGTON DR","","UNION CITY","CA","94587","-122.032158","37.590499","385","0.1380624","1320","3","2.000","1967","2015-10-09","660000","700391"
"17336603","0",,"5","1450",,,,,,,,,,,"3112511300000","San Bernardino","14805 GAYHEAD RD","","APPLE VALLEY","CA","92307","-117.194281","34.520335","385","0.9986226","1995","3","2.000","1979","2010-10-18","79000","114852"
"17337373","1","-55","12","1850","17","-55",,,,,,,,,"048052048000","Stanislaus","454 D ARPINO CT","","PATTERSON","CA","95363","-121.128033","37.461139","385","0.1561065","1961","4","3.000","1987","2016-07-29","282000","293392"
"17340551","0",,"5","1500",,,,,,,,,,,"38910016","Kern","8208 BIRMINGHAM ST","","BAKERSFIELD","CA","93311","-119.094925","35.348260","385","0.1386823","1558","3","1.750","1986","2006-03-07","345000","244000"
"17341936","0",,"3","3600",,,,,,,,,,,"475 016006200","Alameda","2465 ALMADEN BLVD","","UNION CITY","CA","94587","-122.056928","37.600436","385","0.1423324","1888","4","2.000","1967","2009-09-21","468000","592594"
"17342903","0",,"7","2000",,,,,,,,,,,"181353030","Riverside","5287 MANHART CIR","","RIVERSIDE","CA","92509","-117.403973","33.988253","385","0.1000000","1304","3","2.000","1999","2004-08-05","265000","324626"
"17344810","0",,"5","4695",,,,,,,,,,,"4226016034","Los Angeles","35 24TH AVE","APT 2","VENICE","CA","90291","-118.469146","33.983411","366","0.1212351","960","2","2.000","1987","2002-11-05","0","175740"
"17349083","0",,"7","3995",,,,,,,,,,,"41239033","Santa Clara","945 NORIN CT","","CAMPBELL","CA","95008","-121.942689","37.273443","385","0.2152204","1985","3","1.000","1953","2000-01-07","425000","585556"
"17349995","0",,"1","2295",,,,,,,,,,,"024411013000","Monterey","412 CARDONA CIR","","GREENFIELD","CA","93927","-121.235609","36.330698","385","0.0642792","1271","3","3.000","2015","2019-07-18","349000","265301"
"17351314","0",,"7","3250",,,,,,,,,,,"93995617","Orange","24361 HILTON WAY","","LAGUNA NIGUEL","CA","92677","-117.704572","33.564716","366","0.0000000","1419","3","3.000","1989","2014-04-17","535000","587918"
"17364602","0",,"2","1695",,,,,,,,,,,"05602900690000","Sacramento","11140 SQUANAN RIVER CT","","RANCHO CORDOVA","CA","95670","-121.271075","38.624951","385","0.2154500","1579","3","2.000","1980","1991-04-04","175000","282938"
"17367912","0",,"12","2600",,,,,,,,,,,"020 016902800","Alameda","1515 14TH AVE","APT 301","OAKLAND","CA","94606","-122.245477","37.790252","366","0.0000000","1222","3","1.000","2004","2010-08-03","137457","183754"
"17368024","0",,"12","2250",,,,,,,,,,,"020 016902400","Alameda","1515 14TH AVE","APT 203","OAKLAND","CA","94606","-122.245477","37.790252","366","0.0000000","791","2","1.000","2004","2012-06-15","81000","91765"
